 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Região/Unidade da Federação e Ano
Período:1994-2019
"Região/Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
".. Rio Grande do Sul";-;1096689;1011888;990645;972207;3397620;3539671;3605219;3443527;3280867;3875775;3626787;3604845;3507487;3417420;3480942;3411391;1972214;1861452;2326594;2980144;2808159;2601252;2633986;2675382;1829584;67951747
"Região Centro-Oeste";384499;788810;1155568;1446316;1565734;4336995;4848351;4894025;4728059;4584355;5878046;5505148;5570352;5714618;5524024;5610305;5397196;3508110;3385244;4170804;5459762;5061483;5194786;4725232;4606442;2976294;107020558
".. Mato Grosso do Sul";-;-;160964;261788;282453;827388;896172;937187;856199;814843;971764;945137;974966;987297;974861;1023854;993508;647692;639969;792827;1186794;1097563;937525;888047;900946;569408;19569152
".. Mato Grosso";174627;196972;201338;334670;358484;907069;1091090;1089117;1056545;1014615;1286775;1266069;1239094;1263603;1225930;1232897;1151191;762483;754284;882673;1204418;1218562;1117107;1074008;1053524;657632;23814777
".. Goiás";209872;590541;574266;591826;634802;1805937;2040674;2069557;2055137;1978045;2634225;2339329;2366568;2428428;2322350;2351035;2274623;1515006;1375687;1637161;2068419;2012864;1808414;1852394;1764350;1139751;44441261
".. Distrito Federal";-;1297;219000;258032;289995;796601;820415;798164;760178;776852;985282;954613;989724;1035290;1000883;1002519;977874;582929;615304;858143;1000131;732494;1331740;910783;887622;609503;19195368
"Total";5002593;12379535;14040241;19655709;20327528;61179053;67270520;69655072;66135589;63525217;79342932;74720359;74923836;75177841;72922335;74411131;73202221;44640471;42720182;49110580;63842324;63025044;53191124;53132232;53110958;33461957;1380106584
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

